Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
26	true	8.4278345	0.106068894	3
27	true	8.1257105	0.10958051	4
28	true	7.064305	0.124003254	3
29	true	6.0855274	0.14113276	5
30	true	5.7007694	0.14923659	7
31	true	5.7007694	0.14923659	7
32	true	5.5904255	0.15173528	6
33	true	5.5332694	0.15306272	6
34	true	5.477314	0.15438499	7
35	true	5.071631	0.16470039	8
36	true	5.057455	0.16508584	9
37	true	5.057455	0.16508584	9
38	true	4.8512588	0.1709034	12
39	true	4.8473926	0.1710164	14
40	true	4.8251996	0.17166793	10
41	true	4.8251996	0.17166793	10
42	true	4.819915	0.17182381	11
43	true	4.8105984	0.17209932	14
44	true	4.795062	0.1725607	14
45	true	4.786274	0.17282279	11
46	true	4.786274	0.17282279	11
47	true	4.75556	0.17374504	10
48	true	4.7022657	0.17536889	14
49	true	4.7022657	0.17536889	14
50	true	4.67491	0.17621425	12
0	false	24.343967	0.03945712	2
1	false	24.343967	0.03945712	2
2	false	24.343967	0.03945712	2
3	false	24.343967	0.03945712	2
4	false	24.343967	0.03945712	2
5	false	23.811617	0.0403037	0
6	false	22.878277	0.04187907	2
7	false	22.486118	0.042578343	3
8	false	19.436855	0.048931208	2
9	false	19.436855	0.048931208	2
10	false	19.312027	0.049231917	1
11	false	19.312027	0.049231917	1
12	false	19.280409	0.04930867	3
13	false	18.803059	0.05049725	1
14	false	17.357458	0.054473773	2
15	false	16.89	0.05589715	3
16	false	15.470776	0.060713597	1
17	false	12.54575	0.07382389	5
18	false	12.54575	0.07382389	5
19	false	11.707135	0.078695945	3
20	false	11.707135	0.078695945	3
21	false	11.707135	0.078695945	3
22	false	11.546368	0.079704344	4
23	false	11.546368	0.079704344	4
24	false	11.546368	0.079704344	4
25	false	11.531134	0.07980124	4
26	false	11.471547	0.080182515	4
27	false	11.288067	0.081379764	4
28	false	9.121326	0.09880128	4
29	false	9.121326	0.09880128	4
30	false	9.121326	0.09880128	4
31	false	9.045521	0.09954686	3
32	false	7.222603	0.12161599	4
33	false	6.2885795	0.13720095	3
34	false	6.2885795	0.13720095	3
35	false	6.2885795	0.13720095	3
36	false	5.6325583	0.15077138	3
37	false	4.884086	0.16994992	5
38	false	4.884086	0.16994992	5
39	false	4.884086	0.16994992	5
40	false	4.8648314	0.17050788	5
41	false	4.8648314	0.17050788	5
42	false	4.85407	0.17082132	5
43	false	4.85407	0.17082132	5
44	false	4.7661405	0.17342623	19
45	false	4.7661405	0.17342623	19
46	false	4.6589518	0.17671117	5
47	false	4.6589518	0.17671117	5
48	false	4.569871	0.17953737	22
49	false	3.6431377	0.2153716	27
50	false	3.6431377	0.2153716	27
0	true	24.535032	0.039161883	1
1	true	23.307123	0.041140202	0
2	true	23.553564	0.040727284	1
3	true	22.316359	0.042888343	0
4	true	20.572369	0.046355594	2
5	true	14.813975	0.06323521	4
6	true	14.813975	0.06323521	4
7	true	13.4384985	0.06925928	3
8	true	12.618844	0.07342767	1
9	true	12.429252	0.07446431	4
10	true	12.052451	0.07661396	2
11	true	11.106059	0.08260326	2
12	true	10.269171	0.088737674	6
13	true	10.243412	0.08894097	5
14	true	10.138128	0.089781694	5
15	true	9.8936205	0.091796845	3
16	true	9.735367	0.09315006	8
17	true	9.663509	0.09377776	10
18	true	9.316538	0.09693174	6
19	true	9.281795	0.09725928	7
20	true	9.281795	0.09725928	7
21	true	9.155759	0.0984663	5
22	true	8.965378	0.10034742	12
23	true	8.965378	0.10034742	12
24	true	8.846167	0.101562366	10
25	true	8.734217	0.1027304	5
26	true	8.734217	0.1027304	5
27	true	8.496396	0.10530311	14
28	true	8.472176	0.105572365	12
29	true	8.352916	0.10691853	15
30	true	8.352916	0.10691853	15
31	true	8.342994	0.107032076	19
32	true	8.27918	0.10776815	16
33	true	8.21661	0.108499765	14
34	true	8.153477	0.10924811	22
35	true	8.153477	0.10924811	22
36	true	8.153477	0.10924811	22
37	true	8.144472	0.10935568	18
38	true	8.137026	0.109444804	19
39	true	8.111933	0.1097462	22
40	true	8.111933	0.1097462	22
41	true	8.111933	0.1097462	22
42	true	8.111332	0.10975344	20
43	true	8.111332	0.10975344	20
