Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
23	true	22.0	0.04347826	67
24	true	22.0	0.04347826	67
25	true	22.0	0.04347826	67
26	true	22.0	0.04347826	67
27	true	22.0	0.04347826	67
28	true	22.0	0.04347826	67
29	true	22.0	0.04347826	67
30	true	22.0	0.04347826	67
31	true	22.0	0.04347826	67
32	true	22.0	0.04347826	67
33	true	22.0	0.04347826	67
34	true	22.0	0.04347826	67
35	true	22.0	0.04347826	67
36	true	22.0	0.04347826	67
37	true	22.0	0.04347826	67
38	true	22.0	0.04347826	67
39	true	22.0	0.04347826	67
40	true	22.0	0.04347826	67
41	true	22.0	0.04347826	67
42	true	22.0	0.04347826	67
43	true	22.0	0.04347826	67
44	true	22.0	0.04347826	67
45	true	22.0	0.04347826	67
46	true	22.0	0.04347826	67
47	true	22.0	0.04347826	67
48	true	22.0	0.04347826	67
49	true	22.0	0.04347826	67
50	true	22.0	0.04347826	67
0	false	51.0	0.01923077	38
1	false	50.0	0.019607844	39
2	false	49.0	0.02	40
3	false	45.0	0.02173913	44
4	false	45.0	0.02173913	44
5	false	44.0	0.022222223	45
6	false	31.0	0.03125	58
7	false	31.0	0.03125	58
8	false	31.0	0.03125	58
9	false	26.0	0.037037037	63
10	false	26.0	0.037037037	63
11	false	26.0	0.037037037	63
12	false	26.0	0.037037037	63
13	false	26.0	0.037037037	63
14	false	26.0	0.037037037	63
15	false	26.0	0.037037037	63
16	false	26.0	0.037037037	63
17	false	25.0	0.03846154	64
18	false	25.0	0.03846154	64
19	false	11.0	0.083333336	78
20	false	11.0	0.083333336	78
21	false	11.0	0.083333336	78
22	false	10.0	0.09090909	79
23	false	10.0	0.09090909	79
24	false	10.0	0.09090909	79
25	false	8.0	0.11111111	81
26	false	8.0	0.11111111	81
27	false	8.0	0.11111111	81
28	false	8.0	0.11111111	81
29	false	5.0	0.16666667	84
30	false	5.0	0.16666667	84
31	false	5.0	0.16666667	84
32	false	5.0	0.16666667	84
