Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
17	false	15.73432	0.059757434	1
18	false	15.73432	0.059757434	1
19	false	14.204206	0.065771274	1
20	false	13.441	0.06924728	1
21	false	13.213814	0.0703541	0
22	false	12.579006	0.07364309	3
23	false	12.09609	0.07635867	3
24	false	11.658406	0.078998886	2
25	false	10.472328	0.087166265	6
26	false	10.472328	0.087166265	6
27	false	9.243363	0.09762418	6
28	false	8.862475	0.10139442	3
29	false	8.494751	0.10532135	6
30	false	8.494751	0.10532135	6
31	false	5.9448676	0.14399123	3
32	false	5.9448676	0.14399123	3
33	false	5.9448676	0.14399123	3
34	false	5.9448676	0.14399123	3
35	false	5.7303543	0.14858058	3
36	false	5.685301	0.1495819	3
37	false	5.458945	0.15482405	4
38	false	4.8487344	0.17097716	4
39	false	4.417116	0.18460007	9
40	false	4.417116	0.18460007	9
41	false	4.417116	0.18460007	9
42	false	4.126202	0.1950762	9
43	false	4.126202	0.1950762	9
44	false	4.126202	0.1950762	9
45	false	3.9241233	0.20308183	9
46	false	3.839839	0.20661844	9
47	false	3.8168998	0.20760241	9
48	false	3.8168998	0.20760241	9
49	false	3.8069346	0.2080328	9
50	false	3.730991	0.21137221	8
0	false	24.212984	0.039662104	1
1	false	24.212984	0.039662104	1
2	false	24.212984	0.039662104	1
3	false	23.261251	0.04121799	1
4	false	22.537096	0.042486124	2
5	false	21.85739	0.04374953	0
6	false	20.972837	0.045510735	2
7	false	20.813314	0.04584356	2
8	false	18.844011	0.050393037	1
9	false	17.419966	0.054288916	1
10	false	15.666982	0.05999887	3
11	false	11.282652	0.081415646	3
12	false	11.167866	0.08218368	2
13	false	10.454649	0.0873008	2
14	false	10.109689	0.09001152	1
15	false	10.109689	0.09001152	1
16	false	8.462287	0.10568269	4
17	false	5.1229897	0.16331892	5
18	false	4.9351935	0.1684865	4
19	false	4.9351935	0.1684865	4
20	false	3.910489	0.2036457	3
21	false	4.394502	0.18537392	5
22	false	4.3242636	0.1878194	3
23	false	4.1221	0.19523244	4
24	false	3.7080042	0.21240424	8
25	false	3.3951702	0.22752248	5
26	false	3.1060965	0.24354032	7
27	false	3.1060965	0.24354032	7
28	false	3.0272877	0.24830608	10
29	false	2.8333619	0.26086763	7
30	false	2.6610038	0.27314913	5
31	false	2.5227742	0.28386718	13
32	false	2.5524812	0.2814934	10
33	false	2.6035147	0.27750686	12
34	false	2.4025626	0.29389614	11
35	false	2.4025626	0.29389614	11
36	false	2.3866563	0.2952765	7
37	false	2.0555918	0.32726884	10
38	false	2.0998988	0.3225912	8
39	false	2.0998988	0.3225912	8
40	false	2.0610082	0.32668975	12
41	false	1.9971633	0.33364883	20
42	false	1.9189211	0.34259236	11
43	false	1.9189211	0.34259236	11
44	false	1.8454552	0.35143763	17
45	false	1.8448706	0.35150984	17
46	false	1.8051788	0.35648355	22
47	false	1.7793893	0.35979125	18
48	false	1.7793893	0.35979125	18
49	false	1.6736801	0.3740163	13
50	false	1.6585385	0.37614655	15
0	false	24.220026	0.03965103	1
1	false	23.095768	0.041501064	1
2	false	24.136875	0.039782193	2
3	false	23.517183	0.04078772	1
4	false	23.365065	0.04104237	0
5	false	22.564888	0.04243602	1
6	false	22.564888	0.04243602	1
7	false	21.03804	0.045376085	0
8	false	17.9232	0.052845184	1
9	false	17.88037	0.052965067	0
10	false	17.88037	0.052965067	0
11	false	17.76575	0.053288568	2
12	false	16.223536	0.058060087	3
13	false	12.805915	0.07243272	4
14	false	12.964929	0.071607955	1
15	false	11.80156	0.07811548	3
16	false	11.80156	0.07811548	3
17	false	11.29679	0.08132204	4
18	false	11.29679	0.08132204	4
19	false	11.246289	0.08165739	4
20	false	10.955547	0.08364318	4
21	false	10.802637	0.084726825	6
22	false	10.634661	0.08595008	11
23	false	7.6385036	0.11576078	2
24	false	6.2489696	0.13795064	2
25	false	5.976855	0.14333107	4
26	false	5.8167534	0.1466974	4
27	false	5.7425427	0.148312	7
28	false	5.7425427	0.148312	7
29	false	5.346202	0.15757456	9
30	false	5.334507	0.15786548	5
31	false	5.2755556	0.15934844	10
32	false	5.2755556	0.15934844	10
33	false	5.2755556	0.15934844	10
34	false	5.250121	0.1599969	2
35	false	5.2240367	0.16066743	8
36	false	5.2240367	0.16066743	8
37	false	5.1905103	0.16153757	9
38	false	4.9701147	0.16750097	4
39	false	4.958194	0.1678361	4
40	false	4.477385	0.18256886	8
41	false	4.3630624	0.18646063	7
42	false	4.3630624	0.18646063	7
43	false	4.2569056	0.19022597	10
44	false	4.0551453	0.19781825	7
45	false	3.935269	0.20262319	5
46	false	3.447346	0.22485322	7
47	false	3.447346	0.22485322	7
48	false	3.447346	0.22485322	7
49	false	2.9818313	0.2511407	15
50	false	2.9227276	0.25492465	16
0	false	24.051966	0.039917026	0
1	false	24.051966	0.039917026	0
2	false	24.051966	0.039917026	0
3	false	24.051966	0.039917026	0
4	false	23.957588	0.040067974	1
5	false	23.188515	0.041341934	1
6	false	22.038666	0.04340529	0
7	false	20.137066	0.047310255	0
8	false	19.469929	0.04885215	2
9	false	19.289562	0.049286425	2
10	false	14.235717	0.06563524	1
11	false	14.812501	0.0632411	1
12	false	14.2281475	0.06566787	3
13	false	14.136885	0.06606379	1
14	false	12.87563	0.072068796	3
15	false	10.692334	0.08552612	7
16	false	10.31077	0.08841131	1
17	false	9.785949	0.092713214	5
18	false	9.201172	0.09802795	4
19	false	8.736306	0.102708355	2
20	false	8.394693	0.10644307	2
21	false	7.7150393	0.11474418	2
22	false	7.7150393	0.11474418	2
23	false	7.7150393	0.11474418	2
24	false	7.4014063	0.11902769	7
25	false	6.9620605	0.12559563	6
26	false	6.8180532	0.12790908	7
27	false	6.5324674	0.13275862	5
28	false	6.428197	0.13462217	10
29	false	6.3687863	0.13570756	7
30	false	5.8447075	0.14609829	5
31	false	5.8269424	0.14647846	6
32	false	5.788222	0.14731398	7
33	false	5.788222	0.14731398	7
34	false	5.7415895	0.14833297	4
35	false	5.7415895	0.14833297	4
36	false	5.624317	0.15095896	10
37	false	5.624317	0.15095896	10
38	false	5.624317	0.15095896	10
39	false	5.5804353	0.15196563	8
40	false	5.4571085	0.15486808	7
41	false	5.4541855	0.15493822	7
42	false	5.4161625	0.1558564	6
43	false	5.391809	0.15645023	6
44	false	5.3352017	0.15784816	12
45	false	5.3352017	0.15784816	12
46	false	5.236891	0.1603363	7
47	false	4.8503265	0.17093062	6
48	false	4.8503265	0.17093062	6
49	false	4.8503265	0.17093062	6
50	false	4.8503265	0.17093062	6
0	false	24.300653	0.03952467	0
1	false	24.003468	0.039994452	1
2	false	24.003468	0.039994452	1
3	false	24.047928	0.039923463	0
4	false	23.972876	0.040043447	1
5	false	21.171644	0.045102656	0
